Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust,Normalised_Power,Normalised_Thrust,F_objective,
33,0.0135,0.321,0.668,0.0135,0.339,0.623,0.0205,0.204,0.669,1.08168,1.05447,802.518,846.23,102.443,0.144723946,0.108394052,0.052589002,759.15345
34,0.023,0.308,0.657,0.016,0.331,0.613,0.011,0.208,0.617,1.13511,1.11753,802.54,896.87,186.547,0.29512043,0.37991914,-0.027810839,738.30505
35,0.01,0.215,0.672,0.02,0.307,0.665,0.019,0.217,0.613,1.09549,1.06445,802.499,854.22,125.327,0.168453565,0.182273774,0.013520857,747.69205
36,0.0205,0.246,0.655,0.0205,0.285,0.62,0.0235,0.177,0.658,1.23468,1.27258,802.675,1021.47,266.388,0.66517181,0.63768137,0.123142645,795.0402
37,0.0225,0.176,0.626,0.0165,0.376,0.637,0.0185,0.334,0.639,1.09839,1.07583,802.534,863.39,114.217,0.195687684,0.146405757,0.071242791,766.30555
38,0.018,0.29,0.659,0.012,0.38,0.674,0.0215,0.252,0.627,1.11667,1.09292,802.529,877.1,122.983,0.236405215,0.1747063,0.08790486,772.56445
39,0.024,0.336,0.626,0.0135,0.174,0.664,0.013,0.296,0.659,1.13536,1.11594,802.587,895.64,149.402,0.291467435,0.259998573,0.070468648,768.6483
40,0.019,0.344,0.654,0.0235,0.264,0.644,0.015,0.2,0.64,1.20861,1.22713,802.692,985.01,241.94,0.556888717,0.558752361,0.08194921,779.361
41,0.019,0.294,0.617,0.017,0.223,0.627,0.0235,0.344,0.66,1.15342,1.15298,802.592,925.37,153.473,0.379763001,0.27314157,0.147592666,794.91795
42,0.017,0.263,0.615,0.021,0.231,0.655,0.0165,0.331,0.669,1.15103,1.15603,802.554,927.78,204.651,0.386920495,0.438366898,0.014308632,753.82665
43,0.023,0.352,0.633,0.014,0.309,0.676,0.01,0.233,0.674,1.11481,1.09551,802.587,879.25,122.324,0.242790532,0.172578755,0.09609859,775.2746
